,location,Changed,long,lat
428,Каен,Mr Kaen,-84.73819,44.661473
75,Ferrara,Ferrara,11.827938995640167,44.766764249999994
306,Баня Лука,Banja Luka,17.1917651,44.7720845
569,Парма,Parma,10.3280833,44.8013678
173,Pessac,Pessac,-0.6308396,44.805615
312,Белград,Belgrade,20.4568974,44.8178131
324,Бордо,Bordeaux,-0.5800364,44.841225
593,Пьяченца,Piacenza,9.666531257696896,44.8476352
176,Piteşti,Pitesti,24.8719422,44.8572343
637,Ставрополь,Stavropol,43.4406913,44.8632577
562,Павия,Pavia,9.137825082826026,45.036854649999995
662,Турин,Turin,7.6824892,45.0677551
45,Chavannes-près-Renens,Chavannes,4.92539,45.1045
200,Saint-Martin-d'Hères,saint martin d'heres,5.75448,45.1836683
395,Гренобль,Grenoble,5.7357819,45.1875602
225,Sremska Kamenica,Sremska Kamenica,19.8419217,45.2223202
303,Байот,Bayot,0.7705537,45.2395844
538,Нови Сад,Novi Sad,19.8451756,45.2551338
250,Tula,Tula,1.7706797,45.2678347
603,Риека,Rijeka,14.4412309,45.3271752
564,Падуя,Padua,11.8734455,45.4077172
374,Галац,Galati,28.0549395,45.4338215
354,Венеция,Venice,12.3345898,45.4371908
260,Verona,Verona,10.9924122,45.4384958
199,Saint-Étienne,saint etienne,4.3873058,45.4401467
521,Милан,Milan,9.1896346,45.4641943
584,Портленд,Portland,-122.6741949,45.5202471
555,Осиек,Osijek,18.6953685,45.5548793
693,Шамбери,Chambéry,5.9203636,45.5662672
193,Roncade,Roncade,12.3747797,45.6279075
261,Vicenza,Vicenza,11.40635425660249,45.63485905
656,Триест,Trieste,13.7772781,45.6496485
327,Брашов,Brasov,25.6102746,45.6523093
653,Тимишоара,Timisoara,21.2257474,45.7538355
492,Лион,Lyon,4.8320114,45.7578137
451,Клермон-Ферран,Clermont-Ferrand,3.0819427,45.7774551
31,Brescia,Brescia,10.4258729694612,45.77958045
48,City of Zagreb,City of Zagreb,15.971448808267374,45.791544200000004
246,Treviso,Treviso,12.206315763116372,45.806691349999994
412,Загреб,Zagreb,15.9771774,45.8131847
488,Лимож,Limoges,1.2644847,45.8354243
345,Варезе,Varese,8.754157594917665,45.83971285
212,Sfântu Gheorghe,Sfantu Gheorghe,25.7865367,45.8659935
142,Mendrisio,Mendrisio,8.9875293,45.8709661
643,Стреза,Stresa,8.5390268,45.8837277
194,Rovereto,Rovereto,11.0452369,45.886548
478,Лекко,Lecco,9.41202482143963,45.9005485
53,Como,Como,9.149410145408947,45.939475900000005
220,Sorengo,Sorengo,8.9351621,46.0005701
498,Лугано,Lugano,8.9520281,46.0050102
371,Гаага,Hague,-99.9982432,46.0281748
504,Любляна,Ljubljana,14.5069289,46.0500268
665,Удине,Udine,13.2358377,46.0634632
577,Печ,Pecs,18.2280397,46.0765883
245,Trento,Trento,11.129840331695068,46.1030443
695,Швейцария онлайн,Geneva,6.1466014,46.2017559
411,Женева,Geneva,6.1466014,46.2017559
625,Сегед,Szeged,20.1486016,46.2546312
330,Бриг,Brig,8.02942282014046,46.2845584
462,Кран-Монтана,Crans-Montana,7.526435803722132,46.3304899
477,Лейсин,Leysin,7.0148403,46.3438701
583,Порт-Вале,Port Valais,6.862287669574162,46.3720663
146,Montreux,Montreux,6.9129921,46.4310831
123,La Tour-de-Peilz,La Tour-de-Peilz,6.8569063,46.4537524
495,Лозанна,Lausanne,6.6327025,46.5218269
516,Марибор,Maribor,15.6455854,46.5576439
592,Пуатье,Poitiers,0.340196,46.5802596
265,Villach,Villach,13.8500268,46.6167284
450,Клагенфурт,Klagenfurt,14.3079604,46.6228162
2,20,Vaud,6.5320717,46.6356963
545,одеколон,Сologne,2.7060454,46.6467925
25,Bolzano,Bolzano,11.229637264169462,46.65594215
37,Bună Ziua,Cluj-Napoca,23.5899542,46.769379
467,Кур,Chur,9.5264904,46.854747
316,Берн,Berne,7.4514512,46.9482713
534,Невер,Nevers,3.1577203,46.9876601
535,Невшатель,Neuchatel,6.9292641,46.9895828
448,Кишинев,Kishinev,28.8322923,47.0245117
506,люцерна,Lucerne,8.3054682,47.0505452
164,Oradea,Oradea,21.9285231,47.0549163
394,Грац,Graz,15.4382786,47.0708678
278,Zug,Zug,8.5539378,47.1486137
712,Яссы,Iasi,27.5836142,47.1615341
234,Taganrog,Taganrog,38.9285216,47.2153657
531,Нант,Nantes,-1.5541362,47.2186371
268,Wädenswil,Wadenswil,8.6701365,47.2278988
310,Безансон,Besançon,6.0243622,47.2380222
606,Ростов-на-Дону,Rostov-on-Don,39.72490856518773,47.2610441
201,Saint-Nazaire,Saint Nazaire,-2.2138905,47.2733517
62,Dijon,Dijon,5.0414701,47.3215806
279,Zürich,Zurich,8.5410422,47.3744489
705,Экскурсии,Tours,0.6889268,47.3900474
617,Санкт-Галлен,St. Gallen,9.3765878,47.4250593
198,Saint-Barthélemy-d'Anjou,saint barthelemy d anjou,-0.4932941,47.4683081
288,Анжер,Angers,-0.5515588,47.4739884
596,Район В.,Budapest,19.0403594,47.4979937
335,Будапешт,Budapest,19.0403594,47.4979937
36,Budapest,Budapest,19.0403594,47.4979937
271,Winterthur,Winterthur,8.7291498,47.4991723
239,Therwil,Therwil,7.5574673,47.4992969
149,Muttenz,Muttenz,7.6477401,47.525113
398,Дебрецен,Debrecen,21.6259782,47.531399
301,Базель,Basel,7.5878261,47.5581077
468,Куфштайн,Kufstein,12.1692134,47.582996
88,Gödöllő,Godollo,19.3476981,47.601529
79,Friedrichshafen,Friedrichshafen,9.4800858,47.6500279
454,Констанц,Konstanz,9.1750718,47.659216
696,Шопрон,Sopron,16.5983457,47.6803063
207,Schaffhausen,Schaffhouse,8.634513,47.6960491
413,Зальцбург,Salzburg,13.0464806,47.7981346
360,Винер Нойштадт,Wiener Neustadt,16.23325959462936,47.80708635
166,Orléans,Orleans,1.9086066,47.9027336
78,Freiburg,Freiburg,7.8494005,47.9960901
228,Steyr,Steyr,14.4191276,48.0390046
126,Laval,Laval,-0.7734022,48.0706687
24,Biberach,Biberach,9.7931144,48.101927
524,Мишкольц,Miskolc,20.7900429,48.1030643
191,Rennes,Rennes,-1.6800198,48.1113387
631,Сесон-Севинье,Cesson-Sévigné,-1.6038829,48.1197799
530,Мюнхен,Munich,11.5753822,48.1371079
192,Riedlingen,Riedlingen,9.4748796,48.1534412
659,Труа,Troyes,4.0746257,48.2971626
491,Линц,Linz,14.286198,48.3059078
297,Аугсбург,Augsburg,10.8986971,48.3668041
248,Trnava,Trnava,17.5858175,48.3767652
329,Брест,Brest,-4.4860088,48.3905283
676,Фонтенбло,Fontainebleau,2.7015872,48.4049375
463,Кремс-на-Дунае,Krems an der Donau,15.60631866409324,48.409809300000006
174,Pfarrkirchen,Pfarrkirchen,12.9386266,48.4320329
560,Оффенбург,Offenburg,7.944378,48.4716556
107,Kamianske,Kamianske,34.6068797,48.5167748
664,Тюбинген,Tubingen,9.0535531,48.5236164
570,Пассау,Passau,13.4609744,48.5748229
642,Страсбург,Strasbourg,7.7507127,48.584614
254,Uzhhorod,Uzhhorod,22.3022569,48.6223732
56,Courcouronnes,Courcouronnes,2.411893948759139,48.622557
73,Évry-Courcouronnes,Evry-Courcouronnes,2.4345980281360133,48.6284131
417,Иль-де-Франс,Ile-de-France,2.7537863,48.6443057
543,Нэнси,Nancy,6.1834097,48.6937223
85,Gif-sur-Yvette,Gif-sur-Yvette,2.134529,48.7018823
367,Волгоград,Volgograd,44.5153353,48.7081906
167,Palaiseau,Palaiseau,2.2453842,48.7144587
460,Кошице,Kosice,21.2496774,48.7172272
305,Банска Быстрица,Banská Bystrica,19.1573494,48.7384028
300,Баден-Баден,Baden-Baden,8.2415239,48.7580777
418,Ингольштадт,Ingolstadt,11.4250395,48.7630165
698,Штутгарт,Stuttgart,9.1800132,48.7784485
353,Вена,Vein,-87.56915054232508,48.79100325
399,Деггендорфа,Deggendorf,12.96205,48.8333535
337,Булонь-Бийанкур,Boulogne-Billancourt,2.240206,48.8356649
280,Аалена,Aalen,10.0931765,48.8362705
680,Франция онлайн,Paris,2.3200410217200766,48.8588897
568,Париж,Paris,2.3200410217200766,48.8588897
230,Straubing,Straubing,12.569716,48.8819801
65,Dubnica nad Váhom,Dubnica nad Váhom,18.1662967,48.9574049
267,Villetaneuse,Villetaneuse,2.3439698,48.9611722
109,Karlsruhe,Karlsruhe,8.4034195,49.0068705
410,железа,Gland,3.4630556,49.0488889
232,Switzerland Online,Gland,3.4630556,49.0488889
98,Heilbronn,Heilbronn,9.218655,49.142291
684,Хейльбронна,Heilbronn,9.218655,49.142291
630,Сержи,Sergy,3.5710256,49.1828833
332,Брно,Brno,16.6113382,49.1922443
469,Ландо,Landau,8.1123441,49.1982825
276,Žilina,Zilina,18.7393139,49.2234674
333,Брно-Север,Brno-Sever,16.64661005429616,49.22442715
599,Реймс,Reims,4.031926,49.2577886
91,Hagenberg,Hagenberg,12.7138315,49.3039689
610,Саар,Saarland,6.9537369,49.3841872
97,Heidelberg,Heidelberg,8.694724,49.4093582
54,Compiègne,Compiegne,2.8263171,49.4179497
321,Бове,Beauvais,2.0823355,49.4300997
609,Руанский,Rouen,1.0939658,49.4404591
430,Кайзерслаутерн,Kaiserslautern,7.7689951,49.4432174
10,Amberg,Amberg,11.858728,49.4454211
525,Мон-Сен-Эньян,Mont-Saint-Aignan,1.0813,49.4679
372,Гавр,Le Havre,0.1079732,49.4938975
710,Эш-сюр-Alzette,Esch-sur-Alzette,5.9850306,49.4959628
550,Оломоуц,Olomouc,17.251143,49.5940567
540,Новы Сонч,Nowy Sącz,20.714936589668028,49.61030395
177,Podkarpacka,Podkarpacka,21.7627856,49.6840799
423,испытательный прибор,Trier,6.6441878,49.7596208
370,Вюрцбург,Wurzburg,9.932966,49.79245
390,Город Люксембург,Luxembourg,6.1296751,49.8158683
558,Острава,Ostrava,18.2820084,49.8349139
501,Львов,Lviv,24.0315921,49.841952
110,Karvina,Karvina,18.5416556,49.8542719
581,Полтава,Poltava,33.7498787,49.8607809
287,Амьен,Amiens,2.2956951,49.8941708
304,Байройт,Bayreuth,11.5763079,49.9427202
137,Mainz,Mainz,8.2762513,50.0012314
161,Oestrich-Винкель,Oestrich-Winkel,8.0167585,50.0071863
567,Пардубице,Pardubice,15.7791356,50.0385812
461,Краков,Krakow,19.997153435836697,50.0469432
588,Прага,Prague,14.446459273258009,50.0596288
183,Prague 1,Prague,14.446459273258009,50.0596288
184,Prague 6,Prague,14.446459273258009,50.0596288
589,Прага 6,Prague,14.446459273258009,50.0596288
362,Висбаден,Wiesbaden,8.2416556,50.0820384
679,Франкфурт,Frankfurt,8.6820917,50.1106444
185,Praha-Suchdol,Praha-Suchdol,14.3804611,50.135806
675,Фолмаут,Falmouth,-5.0688262,50.1552197
74,Falmouth,Falmouth,-5.0688262,50.1552197
171,Penryn,Penryn,-5.105696473216783,50.170186
391,Градец Кралове,Hradec Králové,15.8327512,50.2092113
439,Катовице,Katowice,19.00588775660632,50.2137321
388,гобелен,Arras,2.7772211,50.291048
179,Pomorska,Pomorska,19.5536115,50.2924091
387,Гливице,Gliwice,18.662347227971978,50.30113145
60,Dabrowa Gornicza,Dabrowa Gornicza,19.2078918,50.3308692
579,Плимут,Plymouth,-4.1425658,50.3712659
63,Douai,Douai,3.078171805106893,50.3799863
256,Vallendar,Vallendar,7.6142479,50.4001381
143,Mlada Boleslav,Mlada Boleslav,14.9031301,50.4116187
243,Totnes,Totnes,-3.6871525,50.4322816
145,Montabaur,Montabaur,7.8302494,50.4362219
444,Киев,Kiev,30.5241361,50.4500336
527,Монс,Mons,3.951958,50.4549568
101,Huy,Huy,5.2408138,50.5180856
217,Śląska,Silesia,19.2343995,50.5687422
19,Belgorod,Belgorod,36.5873394,50.5955595
595,Райнбах,Rheinbach,6.9491436,50.6256808
485,Лилль,Lille,3.0635282,50.6365654
15,Bad Honnef,Bad Honnef,7.2272534,50.6448582
299,Бад Хоннеф,Bad Honnef,7.2272534,50.6448582
553,Ополе,Opole,17.929884436033525,50.678792900000005
208,Schmalkalden,Schmalkalden,10.4510467,50.7213643
704,Эксетер,Exeter,-3.5269497,50.7255794
323,Бонн,Bonn,7.10066,50.735851
180,Poole,Poole,-1.9537512539581008,50.74020055
481,Либерец,Liberec,15.0583947,50.7702648
222,Southsea,Southsea,-1.0886623,50.7888796
585,Портсмут,Portsmouth,-1.075614,50.8036831
182,Portsmouth,Portsmouth,-1.075614,50.8036831
691,Ченстохова,Czestochowa,19.1244089281233,50.8089997
515,Марбург,Marburg,8.7757742,50.8117327
33,Brühl,Bruhl,6.9037057,50.8291313
32,Brighton,Brighton,-0.12693017575934035,50.8389149
334,Брюссель,Brussels,4.351697,50.8465573
407,Еленя Гура,Jelenia Góra,15.653749235408073,50.8501049
507,Маастрихт,Maastricht,5.6909768,50.8512438
114,Kielce,Kielce,20.609914352101452,50.85403585
415,Зиген,Siegen,8.0227233,50.8749804
475,Левен,Leuven,4.7011675,50.879202
623,Саутгемптон,Southampton,-1.404189,50.9025349
61,Diepenbeek,Diepenbeek,5.4200307,50.9078485
678,Фрайберг,Freiberg,13.3428889,50.9169415
106,Jena,Jena,11.5879359,50.9281717
94,Hasselt,Hasselt,5.3378043,50.9303735
68,Erfurt,Erfurt,11.0287364,50.9777974
349,Веймар,Weimar,11.3296637,50.9810486
402,Дрезден,Dresden,13.7381437,51.0493286
378,Гент,Ghent,3.7250121,51.0538286
17,Beerzel,Beerzel,4.6698925,51.0586177
361,Винчестер,Winchester,-1.3131692,51.0612766
203,Salisbury,Salisbury,-1.7954134,51.0690613
369,Вроцлаве,Wroclaw,16.97819633051261,51.1263106
128,Legnica,Legnica,16.174675034638256,51.204768900000005
672,Фарнхем,Farnham,-0.7984854,51.2151749
503,Люблин,Lublin,22.554677562145155,51.218194499999996
292,Антверпен,Antwerp,4.3997081,51.2211097
385,Гилфорд,Guildford,-0.5732063,51.2356068
443,Кентербери,Canterbury,1.0802533,51.2800275
449,Клавертон Даун,Claverton Down,-2.3276287,51.3686485
344,ванна,Bath,-2.3596963,51.3813864
384,Гиллингхэм,Gillingham,0.5457712,51.3876562
355,Венло,Venlo,6.1511724144122955,51.39244885
121,L&#39;Aquila,L&#39;Aquila,5.3922305,51.4086153
189,Radom,Radom,21.160944780832743,51.41716055
214,Sidcup,Sidcup,0.101044,51.4264002
67,Egham,Egham,-0.5473085,51.4312585
365,Виттен,Witten,7.335124,51.4370171
702,Эйндховен,Eindhoven,5.478633,51.4392648
650,Твикенхем,Twickenham,-0.3281887,51.4467444
71,Essen,Essen,7.0158171,51.4582235
331,Бристоль,Bristol,-2.5790334025708415,51.47091115
436,Кардифф,Cardiff,-3.1791934,51.4816546
325,Бохум,Bochum,7.2196635,51.4818111
221,South Kensington,South Kensington,-0.1730439,51.4940494
112,Kensington,Kensington,-0.1991229,51.4989948
350,Великобритания онлайн,London,-0.1276474,51.5073219
496,Лондон,London,-0.1276474,51.5073219
639,Сток Гиффорд,Stoke Gifford,-2.5437405,51.5182774
270,Whitechapel,Whitechapel,-0.0620807,51.5186227
697,Шордич,Shoreditch,-0.0798926,51.5266694
382,Гёттинген,Göttingen,9.9351811,51.5328328
645,Суиндон,Swindon,-1.7856853,51.5613683
652,Тилбург,Tilburg,5.066061908648313,51.585618749999995
99,Hendon,Hendon,-0.22162,51.5897442
317,Биконсфильд,Beaconsfield,-0.6571233,51.6082881
647,Суонси,Swansea,-3.9459248,51.6195955
681,Хай Уиком,High Wycombe,-0.7484153,51.627422
368,Воронеж,Voronezh,39.2005858,51.6605982
688,Хертогенбос,'s-Hertogenbosch,5.303116,51.6889387
629,Серенстер,Cirencester,-1.998401828395604,51.71671015
563,Падерборн,Paderborn,8.764869778177559,51.71895955
120,Kursk,Kursk,36.179604,51.739433
269,Wheatley,Wheatley,-1.134428637684729,51.7420975
548,Оксфорд,Oxford,-1.2578499,51.7520131
95,Headington,Headington,-1.2109831,51.760214
689,Хэтфилд,Hatfield,-0.2250938620703163,51.7653576
165,Orenburg,Orenburg,55.097118,51.767452
252,Ulan-Ude,Ulan-Ude,107.5839105,51.8357841
536,Неймеген,Nijmegen,5.838960628748229,51.842574850000005
591,пробковый,Cork,-8.4654674,51.897077
607,Роттердам,Rotterdam,4.47775,51.9244424
148,Münster,Minster,7.6251879,51.9625101
294,Арнем,Arnhem,5.9108573,51.984257
351,Велп,Velp,5.9751252,51.9958671
47,Chita,Chita,113.500893,52.033409
522,Милтон Кейнс,Milton Keynes,-0.7589607,52.0429797
419,Ипсвич,Ipswich,1.1526345,52.0579495
465,Крэнфилдский,Cranfield,-0.6079317,52.0690205
668,Утрехт,Utrecht,5.12768396945229,52.080985600000005
508,Магдебург,Magdeburg,11.6399609,52.1315889
519,Мёккерн,Möckern,11.9532769,52.1405163
130,Leiden,Leiden,4.4811088666204295,52.1518157
215,Siedlce,Siedlce,22.281253302988254,52.161593800000006
293,Апельдорн,Apeldoorn,5.930077460807249,52.17957375
442,Кембридж,Cambridge,0.1186637,52.2055314
706,Энсхеде,Enschede,6.8940537,52.2209855
347,Варшава,Warsaw,21.0067249,52.2319581
352,Вельс,Wels,-3.73893,52.2928116
0,1,Wildau,13.6338248,52.3194124
286,Амстердам,Amsterdam,4.8936041,52.3727598
376,Ганновер,Hanover,9.7385532,52.3744779
